"entrez.id;""gene.symbols"";""type.of.regulators"""
"84839;""RAX2"";""TF"""
"84844;""PHF5A"";""TF"""
"84891;""ZSCAN10"";""TF"""
"85416;""ZIC5"";""TF"""
"85446;""ZFHX2"";""TF"""
"85460;""ZNF518B"";""TF"""
"85474;""LBX2"";""TF"""
"89884;""LHX4"";""TF"""
"89887;""ZNF628"";""TF"""
"90316;""TGIF2LX"";""TF"""
"90655;""TGIF2LY"";""TF"""
"91012;""CERS5"";""TF"""
"91074;""ANKRD30A"";""TF"""
"91133;""L3MBTL4"";""TF"""
"91464;""ISX"";""TF"""
"93986;""FOXP2"";""TF"""
"94104;""PAXBP1"";""TF"""
"112770;""GLMP"";""TF"""
"114821;""ZBED9"";""TF"""
"116071;""BATF2"";""TF"""
"116113;""FOXP4"";""TF"""
"117581;""TWIST2"";""TF"""
"118738;""ZNF488"";""TF"""
"120237;""DBX1"";""TF"""
"121274;""ZNF641"";""TF"""
"121599;""SPIC"";""TF"""
"121643;""FOXN4"";""TF"""
"122953;""JDP2"";""TF"""
"124535;""HSF5"";""TF"""
"127343;""DMBX1"";""TF"""
"128209;""KLF17"";""TF"""
"128553;""TSHZ2"";""TF"""
"132625;""ZFP42"";""TF"""
"134187;""POU5F2"";""TF"""
"135935;""NOBOX"";""TF"""
"137814;""NKX2-6"";""TF"""
"139324;""HDX"";""TF"""
"140628;""GATA5"";""TF"""
"144455;""E2F7"";""TF"""
"145258;""GSC"";""TF"""
"145873;""MESP2"";""TF"""
"146050;""ZSCAN29"";""TF"""
"147912;""SIX5"";""TF"""
"148327;""CREB3L4"";""TF"""
"152518;""NFXL1"";""TF"""
"153222;""CREBRF"";""TF"""
"153572;""IRX2"";""TF"""
"157848;""NKX6-3"";""TF"""
"158399;""ZNF483"";""TF"""
"158800;""RHOXF1"";""TF"""
"159119;""HSFY2"";""TF"""
"159296;""NKX2-3"";""TF"""
"168374;""ZNF92"";""TF"""
"169792;""GLIS3"";""TF"""
"170302;""ARX"";""TF"""
"170825;""GSX2"";""TF"""
"195828;""ZNF367"";""TF"""
"196446;""MYRFL"";""TF"""
"201516;""ZSCAN4"";""TF"""
"203523;""ZNF449"";""TF"""
"204219;""CERS3"";""TF"""
"219409;""GSX1"";""TF"""
"220929;""ZNF438"";""TF"""
"221785;""ZSCAN25"";""TF"""
"221937;""FOXK1"";""TF"""
"222696;""ZSCAN23"";""TF"""
"252884;""ZNF396"";""TF"""
"253461;""ZBTB38"";""TF"""
"253782;""CERS6"";""TF"""
"283078;""MKX"";""TF"""
"283248;""RCOR2"";""TF"""
"284312;""ZSCAN1"";""TF"""
"284355;""TPRX1"";""TF"""
"333929;""SNAI3"";""TF"""
"338917;""VSX2"";""TF"""
"339344;""MYPOP"";""TF"""
"339488;""TFAP2E"";""TF"""
"340260;""UNCX"";""TF"""
"340784;""HMX3"";""TF"""
"342357;""ZKSCAN2"";""TF"""
"342900;""LEUTX"";""TF"""
"342933;""ZSCAN5B"";""TF"""
"342945;""ZSCAN22"";""TF"""
"344022;""NOTO"";""TF"""
"344167;""FOXI3"";""TF"""
"344191;""EVX2"";""TF"""
"347853;""TBX10"";""TF"""
"349334;""FOXD4L4"";""TF"""
"353274;""ZNF445"";""TF"""
"360030;""NANOGNB"";""TF"""
"387032;""ZKSCAN4"";""TF"""
"387332;""TBPL2"";""TF"""
"388112;""NANOGP8"";""TF"""
"389692;""MAFA"";""TF"""
"390010;""NKX1-2"";""TF"""
"390259;""BSX"";""TF"""
"390874;""ONECUT3"";""TF"""
"391723;""HELT"";""TF"""
"402381;""SOHLH1"";""TF"""
"404635;""NANOGP1"";""TF"""
"431707;""LHX8"";""TF"""
"440097;""DBX2"";""TF"""
"440695;""ETV3L"";""TF"""
"441056;""DUX4L4"";""TF"""
"503582;""ARGFX"";""TF"""
"503834;""DPRX"";""TF"""
"503835;""DUXA"";""TF"""
"554045;NA;""TF"""
"644168;""DRGX"";""TF"""
"644524;""NKX2-4"";""TF"""
"645832;""SEBOX"";""TF"""
"646698;""ZSCAN5DP"";""TF"""
"647589;""ANHX"";""TF"""
"649137;""ZSCAN5C"";""TF"""
"653543;""DUX4L7"";""TF"""
"653544;""DUX4L6"";""TF"""
"653545;""DUX4L5"";""TF"""
"653548;""DUX4L3"";""TF"""
"727940;""RHOXF2B"";""TF"""
"728361;""OVOL3"";""TF"""
"728410;""DUX4L2"";""TF"""
"728656;""DMRTC1B"";""TF"""
"729944;""ZNF75CP"";""TF"""
"730130;""TMEM229A"";""TF"""
"100101467;""ZSCAN30"";""TF"""
"100125288;""ZGLP1"";""TF"""
"100132074;""FOXO6"";""TF"""
"100271849;""MEF2B"";""TF"""
"100506164;""HSFX1"";""TF"""
"190;""NR0B1"";""TF"""
"326;""AIRE"";""TF"""
"351;""APP"";""TF"""
"406;""ARNTL"";""TF"""
"741;""ZNHIT2"";""TF"""
"1044;""CDX1"";""TF"""
"1316;""KLF6"";""TF"""
"1488;""CTBP2"";""TF"""
"1628;""DBP"";""TF"""
"1749;""DLX5"";""TF"""
"1788;""DNMT3A"";""TF"""
"1789;""DNMT3B"";""TF"""
"2033;""EP300"";""TF"""
"2034;""EPAS1"";""TF"""
"2086;""ERV3-1"";""TF"""
"2101;""ESRRA"";""TF"""
"2103;""ESRRB"";""TF"""
"2104;""ESRRG"";""TF"""
"2130;""EWSR1"";""TF"""
"2186;""BPTF"";""TF"""
"2294;""FOXF1"";""TF"""
"2308;""FOXO1"";""TF"""
"2516;""NR5A1"";""TF"""
"2649;""NR6A1"";""TF"""
"2672;""GFI1"";""TF"""
"2735;""GLI1"";""TF"""
"2909;""ARHGAP35"";""TF"""
"3059;""HCLS1"";""TF"""
"3068;""HDGF"";""TF"""
"3096;""HIVEP1"";""TF"""
"3097;""HIVEP2"";""TF"""
"3164;""NR4A1"";""TF"""
"3175;""ONECUT1"";""TF"""
"3215;""HOXB5"";""TF"""
"3227;""HOXC11"";""TF"""
"3229;""HOXC13"";""TF"""
"3394;""IRF8"";""TF"""
"3428;""IFI16"";""TF"""
"3608;""ILF2"";""TF"""
"3609;""ILF3"";""TF"""
"3665;""IRF7"";""TF"""
"3720;""JARID2"";""TF"""
"3899;""AFF3"";""TF"""
"4004;""LMO1"";""TF"""
"4066;""LYL1"";""TF"""
"4207;""BORCS8-MEF2B"";""TF"""
"4286;""MITF"";""TF"""
"4487;""MSX1"";""TF"""
"4488;""MSX2"";""TF"""
"4603;""MYBL1"";""TF"""
"4617;""MYF5"";""TF"""
"4654;""MYOD1"";""TF"""
"4798;""NFRKB"";""TF"""
"4807;""NHLH1"";""TF"""
"4808;""NHLH2"";""TF"""
"4853;""NOTCH2"";""TF"""
"4854;""NOTCH3"";""TF"""
"4855;""NOTCH4"";""TF"""
"4899;""NRF1"";""TF"""
"4929;""NR4A2"";""TF"""
"5015;""OTX2"";""TF"""
"5075;""PAX1"";""TF"""
"5076;""PAX2"";""TF"""
"5083;""PAX9"";""TF"""
"5241;""PGR"";""TF"""
"5253;""PHF2"";""TF"""
"5371;""PML"";""TF"""
"5457;""POU4F1"";""TF"""
"5458;""POU4F2"";""TF"""
"5591;""PRKDC"";""TF"""
"5813;""PURA"";""TF"""
"5915;""RARB"";""TF"""
"5933;""RBL1"";""TF"""
"5934;""RBL2"";""TF"""
"5987;""TRIM27"";""TF"""
"5989;""RFX1"";""TF"""
"5990;""RFX2"";""TF"""
"5992;""RFX4"";""TF"""
"6018;""RLF"";""TF"""
"6049;""RNF6"";""TF"""
"6097;""RORC"";""TF"""
"6129;""RPL7"";""TF"""
"6258;""RXRG"";""TF"""
"6297;""SALL2"";""TF"""
"6496;""SIX3"";""TF"""
"6591;""SNAI2"";""TF"""
"6596;""HLTF"";""TF"""
"6597;""SMARCA4"";""TF"""
"6615;""SNAI1"";""TF"""
"6658;""SOX3"";""TF"""
"6663;""SOX10"";""TF"""
"6664;""SOX11"";""TF"""
"6666;""SOX12"";""TF"""
"6668;""SP2"";""TF"""
"6670;""SP3"";""TF"""
"6672;""SP100"";""TF"""
"6736;""SRY"";""TF"""
"6873;""TAF2"";""TF"""
"6880;""TAF9"";""TF"""
"6887;""TAL2"";""TF"""
"6907;""TBL1X"";""TF"""
"6943;""TCF21"";""TF"""
"6944;""VPS72"";""TF"""
"7023;""TFAP4"";""TF"""
"7101;""NR2E1"";""TF"""
"7376;""NR1H2"";""TF"""
"7391;""USF1"";""TF"""
"7468;""NSD2"";""TF"""
"7538;""ZFP36"";""TF"""
"7541;""ZBTB14"";""TF"""
"7542;""ZFPL1"";""TF"""
"7543;""ZFX"";""TF"""
"7544;""ZFY"";""TF"""
"7549;""ZNF2"";""TF"""
"7551;""ZNF3"";""TF"""
"7552;""ZNF711"";""TF"""
"7553;""ZNF7"";""TF"""
"7554;""ZNF8"";""TF"""
"7556;""ZNF10"";""TF"""
"7559;""ZNF12"";""TF"""
"7561;""ZNF14"";""TF"""
"7562;""ZNF708"";""TF"""
"7564;""ZNF16"";""TF"""
"7565;""ZNF17"";""TF"""
"7568;""ZNF20"";""TF"""
"7569;""ZNF182"";""TF"""
"7570;""ZNF22"";""TF"""
"7571;""ZNF23"";""TF"""
"7574;""ZNF26"";""TF"""
"7576;""ZNF28"";""TF"""
"7580;""ZNF32"";""TF"""
"7582;""ZNF33B"";""TF"""
"7592;""ZNF41"";""TF"""
"7594;""ZNF43"";""TF"""
"7608;""ZNF56"";""TF"""
"7617;""ZNF66"";""TF"""
"7620;""ZNF69"";""TF"""
"7621;""ZNF70"";""TF"""
"7623;NA;""TF"""
"7624;""ZNF73"";""TF"""
"7625;""ZNF74"";""TF"""
"7627;""ZNF75A"";""TF"""
"7629;""ZNF76"";""TF"""
"7633;""ZNF79"";""TF"""
"7634;""ZNF80"";""TF"""
"7637;""ZNF84"";""TF"""
"7638;""ZNF221"";""TF"""
"7652;""ZNF99"";""TF"""
"7673;""ZNF222"";""TF"""
"7675;""ZNF121"";""TF"""
"7678;""ZNF124"";""TF"""
"7695;""ZNF136"";""TF"""
"7700;""ZNF141"";""TF"""
"7701;""ZNF142"";""TF"""
"7705;""ZNF146"";""TF"""
"7716;""VEZF1"";""TF"""
"7729;NA;""TF"""
"7730;""ZNF177"";""TF"""
"7733;""ZNF180"";""TF"""
"7738;""ZNF184"";""TF"""
"7739;""ZNF185"";""TF"""
"7748;""ZNF195"";""TF"""
"7750;""ZMYM2"";""TF"""
"7752;""ZNF200"";""TF"""
"7755;""ZNF205"";""TF"""
"7757;""ZNF208"";""TF"""
"7761;""ZNF214"";""TF"""
"7763;""ZFAND5"";""TF"""
"7766;""ZNF223"";""TF"""
"7767;""ZNF224"";""TF"""
"7768;""ZNF225"";""TF"""
"7769;""ZNF226"";""TF"""
"7770;""ZNF227"";""TF"""
"7771;""ZNF112"";""TF"""
"7772;""ZNF229"";""TF"""
"7773;""ZNF230"";""TF"""
"7776;""ZNF236"";""TF"""
"7862;""BRPF1"";""TF"""
"7988;""ZNF212"";""TF"""
"8013;""NR4A3"";""TF"""
"8091;""HMGA2"";""TF"""
"8187;""ZNF239"";""TF"""
"8233;""ZRSR2"";""TF"""
"8242;""KDM5C"";""TF"""
"8328;""GFI1B"";""TF"""
"8403;""SOX14"";""TF"""
"8427;""ZNF282"";""TF"""
"8433;""UTF1"";""TF"""
"8456;""FOXN1"";""TF"""
"8545;""CGGBP1"";""TF"""
"8856;""NR1I2"";""TF"""
"8882;""ZPR1"";""TF"""
"8939;""FUBP3"";""TF"""
"9031;""BAZ1B"";""TF"""
"9070;""ASH2L"";""TF"""
"9189;""ZBED1"";""TF"""
"9202;""ZMYM4"";""TF"""
"9203;""ZMYM3"";""TF"""
"9204;""ZMYM6"";""TF"""
"9205;""ZMYM5"";""TF"""
"9247;""GCM2"";""TF"""
"9278;""ZBTB22"";""TF"""
"9310;""ZNF235"";""TF"""
"9326;""ZNHIT3"";""TF"""
"9372;""ZFYVE9"";""TF"""
"9421;""HAND1"";""TF"""
"9422;""ZNF264"";""TF"""
"9464;""HAND2"";""TF"""
"9479;""MAPK8IP1"";""TF"""
"9516;""LITAF"";""TF"""
"9534;""ZNF254"";""TF"""
"9572;""NR1D1"";""TF"""
"9640;""ZNF592"";""TF"""
"9658;""ZNF516"";""TF"""
"9666;""DZIP3"";""TF"""
"9668;""ZNF432"";""TF"""
"9726;""ZNF646"";""TF"""
"9745;""ZNF536"";""TF"""
"9765;""ZFYVE16"";""TF"""
"9774;""BCLAF1"";""TF"""
"9831;""ZNF623"";""TF"""
"9841;""ZBTB24"";""TF"""
"9877;""ZC3H11A"";""TF"""
"9880;""ZBTB39"";""TF"""
"9889;""ZBED4"";""TF"""
"9923;""ZBTB40"";""TF"""
"9925;""ZBTB5"";""TF"""
"9931;""HELZ"";""TF"""
"9975;""NR1D2"";""TF"""
"9984;""THOC1"";""TF"""
"10002;""NR2E3"";""TF"""
"10009;""ZBTB33"";""TF"""
"10062;""NR1H3"";""TF"""
"10113;""PREB"";""TF"""
"10153;""CEBPZ"";""TF"""
"10215;""OLIG2"";""TF"""
"10224;""ZNF443"";""TF"""
"10260;""DENND4A"";""TF"""
"10308;""ZNF267"";""TF"""
"10362;""HMG20B"";""TF"""
"10467;""ZNHIT1"";""TF"""
"10520;""ZNF211"";""TF"""
"10573;""MRPL28"";""TF"""
"10608;""MXD4"";""TF"""
"10626;""TRIM16"";""TF"""
"10771;""ZMYND11"";""TF"""
"10773;""ZBTB6"";""TF"""
"10780;""ZNF234"";""TF"""
"10781;""ZNF266"";""TF"""
"10793;""ZNF273"";""TF"""
"10794;""ZNF460"";""TF"""
"10838;""ZNF275"";""TF"""
"10906;""TRAFD1"";""TF"""
"11107;""PRDM5"";""TF"""
"11108;""PRDM4"";""TF"""
"11176;""BAZ2A"";""TF"""
"11177;""BAZ1A"";""TF"""
"11179;""ZNF277"";""TF"""
"11279;""KLF8"";""TF"""
"22807;""IKZF2"";""TF"""
"22823;""MTF2"";""TF"""
"22834;""ZNF652"";""TF"""
"22835;""ZFP30"";""TF"""
"22847;""ZNF507"";""TF"""
"22869;""ZNF510"";""TF"""
"22877;""MLXIP"";""TF"""
"22880;""MORC2"";""TF"""
"22890;""ZBTB1"";""TF"""
"22891;""ZNF365"";""TF"""
"23036;""ZNF292"";""TF"""
"23060;""ZNF609"";""TF"""
"23090;""ZNF423"";""TF"""
"23091;""ZC3H13"";""TF"""
"23099;""ZBTB43"";""TF"""
"23119;""HIC2"";""TF"""
"23140;""ZZEF1"";""TF"""
"23144;""ZC3H3"";""TF"""
"23152;""CIC"";""TF"""
"23174;""ZCCHC14"";""TF"""
"23211;""ZC3H4"";""TF"""
"23217;""ZFR2"";""TF"""
"23261;""CAMTA1"";""TF"""
"23264;""ZC3H7B"";""TF"""
"23318;""ZCCHC11"";""TF"""
"23361;""ZNF629"";""TF"""
"23390;""ZDHHC17"";""TF"""
"23414;""ZFPM2"";""TF"""
"23503;""ZFYVE26"";""TF"""
"23515;""MORC3"";""TF"""
"23567;""ZNF346"";""TF"""
"23589;""CARHSP1"";""TF"""
"23598;""PATZ1"";""TF"""
"23613;""ZMYND8"";""TF"""
"23619;""ZIM2"";""TF"""
"23777;NA;""TF"""
"24149;""ZNF318"";""TF"""
"25792;""CIZ1"";""TF"""
"25799;""ZNF324"";""TF"""
"25888;""ZNF473"";""TF"""
"25898;""RCHY1"";""TF"""
"25921;""ZDHHC5"";""TF"""
"25925;""ZNF521"";""TF"""
"25946;""ZNF385A"";""TF"""
"26009;""ZZZ3"";""TF"""
"26036;""ZNF451"";""TF"""
"26038;""CHD5"";""TF"""
"26137;""ZBTB20"";""TF"""
"26149;""ZNF658"";""TF"""
"26152;""ZNF337"";""TF"""
"26959;""HBP1"";""TF"""
"26974;""ZNF285"";""TF"""
"27023;""FOXB1"";""TF"""
"27033;""ZBTB32"";""TF"""
"27063;""ANKRD1"";""TF"""
"27107;""ZBTB11"";""TF"""
"27136;""MORC1"";""TF"""
"27153;""ZNF777"";""TF"""
"27300;""ZNF544"";""TF"""
"27309;""ZNF330"";""TF"""
"27332;""ZNF638"";""TF"""
"28999;""KLF15"";""TF"""
"29028;""ATAD2"";""TF"""
"29063;""ZCCHC4"";""TF"""
"29066;""ZC3H7A"";""TF"""
"29068;""ZBTB44"";""TF"""
"29800;""ZDHHC1"";""TF"""
"29801;""ZDHHC8"";""TF"""
"29841;""GRHL1"";""TF"""
"29893;""PSMC3IP"";""TF"""
"29994;""BAZ2B"";""TF"""
"30827;""CXXC1"";""TF"""
"30832;""ZNF354C"";""TF"""
"49854;""ZBTB21"";""TF"""
"50674;""NEUROG3"";""TF"""
"50862;""RNF141"";""TF"""
"51042;""ZNF593"";""TF"""
"51043;""ZBTB7B"";""TF"""
"51058;""ZNF691"";""TF"""
"51087;""YBX2"";""TF"""
"51114;""ZDHHC9"";""TF"""
"51123;""ZNF706"";""TF"""
"51157;""ZNF580"";""TF"""
"51201;""ZDHHC2"";""TF"""
"51230;""PHF20"";""TF"""
"51276;""ZNF571"";""TF"""
"51304;""ZDHHC3"";""TF"""
"51317;""PHF21A"";""TF"""
"51333;""ZNF771"";""TF"""
"51341;""ZBTB7A"";""TF"""
"51364;""ZMYND10"";""TF"""
"51385;""ZNF589"";""TF"""
"51402;NA;""TF"""
"51427;""ZNF107"";""TF"""
"51530;""ZC3HC1"";""TF"""
"51538;""ZCCHC17"";""TF"""
"51545;""ZNF581"";""TF"""
"51616;""TAF9B"";""TF"""
"51621;""KLF13"";""TF"""
"51663;""ZFR"";""TF"""
"51710;""ZNF44"";""TF"""
"53335;""BCL11A"";""TF"""
"53349;""ZFYVE1"";""TF"""
"54345;""SOX18"";""TF"""
"54469;""ZFAND6"";""TF"""
"54503;""ZDHHC13"";""TF"""
"54531;""MIER2"";""TF"""
"54542;""RC3H2"";""TF"""
"54585;""LZTFL1"";""TF"""
"54626;""HES2"";""TF"""
"54680;""ZNHIT6"";""TF"""
"54700;""RRN3"";""TF"""
"54753;""ZNF853"";""TF"""
"54764;""ZRANB1"";""TF"""
"54796;""BNC2"";""TF"""
"54807;""ZNF586"";""TF"""
"54811;""ZNF562"";""TF"""
"54816;""ZNF280D"";""TF"""
"54819;""ZCCHC10"";""TF"""
"54856;""GON4L"";""TF"""
"54862;""CC2D1A"";""TF"""
"54877;""ZCCHC2"";""TF"""
"54897;""CASZ1"";""TF"""
"54937;""SOHLH2"";""TF"""
"55063;""ZCWPW1"";""TF"""
"55079;""FEZF2"";""TF"""
"55081;""IFT57"";""TF"""
"55139;""ANKZF1"";""TF"""
"55145;""THAP1"";""TF"""
"55146;""ZDHHC4"";""TF"""
"55205;""ZNF532"";""TF"""
"55279;""ZNF654"";""TF"""
"55422;""ZNF331"";""TF"""
"55552;""ZNF823"";""TF"""
"55565;""ZNF821"";""TF"""
"55596;""ZCCHC8"";""TF"""
"55609;""ZNF280C"";""TF"""
"55625;""ZDHHC7"";""TF"""
"55628;""ZNF407"";""TF"""
"55634;""KRBOX4"";""TF"""
"55657;""ZNF692"";""TF"""
"55659;""ZNF416"";""TF"""
"55713;""ZNF334"";""TF"""
"55734;""ZFP64"";""TF"""
"55762;""ZNF701"";""TF"""
"55769;""ZNF83"";""TF"""
"55778;""ZNF839"";""TF"""
"55786;""ZNF415"";""TF"""
"55854;""ZC3H15"";""TF"""
"55870;""ASH1L"";""TF"""
"55893;""ZNF395"";""TF"""
"55900;""ZNF302"";""TF"""
"55906;""ZC4H2"";""TF"""
"55922;""NKRF"";""TF"""
"55929;""DMAP1"";""TF"""
"55954;""ZMAT5"";""TF"""
"56242;""ZNF253"";""TF"""
"56676;""ASCL3"";""TF"""
"56751;""BARHL1"";""TF"""
"56829;""ZC3HAV1"";""TF"""
"56917;""MEIS3"";""TF"""
"56978;""PRDM8"";""TF"""
"56980;""PRDM10"";""TF"""
"56987;""BBX"";""TF"""
"57106;""NAT14"";""TF"""
"57116;""ZNF695"";""TF"""
"57157;""PHTF2"";""TF"""
"57167;""SALL4"";""TF"""
"57169;""ZNFX1"";""TF"""
"57178;""ZMIZ1"";""TF"""
"57209;""ZNF248"";""TF"""
"57215;""THAP11"";""TF"""
"57232;""ZNF630"";""TF"""
"57335;""ZNF286A"";""TF"""
"57343;""ZNF304"";""TF"""
"57410;""SCYL1"";""TF"""
"57473;""ZNF512B"";""TF"""
"57474;""ZNF490"";""TF"""
"57507;""ZNF608"";""TF"""
"57541;""ZNF398"";""TF"""
"57547;""ZNF624"";""TF"""
"57567;""ZNF319"";""TF"""
"57573;""ZNF471"";""TF"""
"57592;""ZNF687"";""TF"""
"57593;""EBF4"";""TF"""
"57615;""ZNF492"";""TF"""
"57621;""ZBTB2"";""TF"""
"57623;""ZFAT"";""TF"""
"57643;""ZSWIM5"";""TF"""
"57659;""ZBTB4"";""TF"""
"57677;""ZFP14"";""TF"""
"57683;""ZDBF2"";""TF"""
"57684;""ZBTB26"";""TF"""
"57688;""ZSWIM6"";""TF"""
"57693;""ZNF317"";""TF"""
"57708;""MIER1"";""TF"""
"57711;""ZNF529"";""TF"""
"57732;""ZFYVE28"";""TF"""
"57786;""RBAK"";""TF"""
"57801;""HES4"";""TF"""
"57862;""ZNF410"";""TF"""
"58160;""NFE4"";""TF"""
"58491;""ZNF71"";""TF"""
"58492;""ZNF77"";""TF"""
"58499;""ZNF462"";""TF"""
"58500;""ZNF250"";""TF"""
"58525;""WIZ"";""TF"""
"59269;""HIVEP3"";""TF"""
"59335;""PRDM12"";""TF"""
"59336;""PRDM13"";""TF"""
"59348;""ZNF350"";""TF"""
"60685;""ZFAND3"";""TF"""
"63925;""ZNF335"";""TF"""
"63934;""ZNF667"";""TF"""
"63973;""NEUROG2"";""TF"""
"63974;""NEUROD6"";""TF"""
"63976;""PRDM16"";""TF"""
"63977;""PRDM15"";""TF"""
"63978;""PRDM14"";""TF"""
"64067;""NPAS3"";""TF"""
"64145;""RBSN"";""TF"""
"64321;""SOX17"";""TF"""
"64376;""IKZF5"";""TF"""
"64393;""ZMAT3"";""TF"""
"64397;""ZNF106"";""TF"""
"64412;""GZF1"";""TF"""
"64429;""ZDHHC6"";""TF"""
"64641;""EBF2"";""TF"""
"64763;""ZNF574"";""TF"""
"64864;""RFX7"";""TF"""
"64919;""BCL11B"";""TF"""
"65249;""ZSWIM4"";""TF"""
"65251;""ZNF649"";""TF"""
"65986;""ZBTB10"";""TF"""
"65988;""ZNF747"";""TF"""
"79027;""ZNF655"";""TF"""
"79038;""ZFYVE21"";""TF"""
"79088;""ZNF426"";""TF"""
"79101;""TAF1D"";""TF"""
"79175;""ZNF343"";""TF"""
"79230;""ZNF557"";""TF"""
"79365;""BHLHE41"";""TF"""
"79366;""HMGN5"";""TF"""
"79413;""ZBED2"";""TF"""
"79670;""ZCCHC6"";""TF"""
"79673;""ZNF329"";""TF"""
"79683;""ZDHHC14"";""TF"""
"79692;""ZNF322"";""TF"""
"79698;""ZMAT4"";""TF"""
"79710;""MORC4"";""TF"""
"79718;""TBL1XR1"";""TF"""
"79724;""ZNF768"";""TF"""
"79740;""ZBBX"";""TF"""
"79744;""ZNF419"";""TF"""
"79750;""ZNF385D"";""TF"""
"79752;""ZFAND1"";""TF"""
"79755;""ZNF750"";""TF"""
"79759;""ZNF668"";""TF"""
"79788;""ZNF665"";""TF"""
"79797;""ZNF408"";""TF"""
"79818;""ZNF552"";""TF"""
"79830;""ZMYM1"";""TF"""
"79842;""ZBTB3"";""TF"""
"79844;""ZDHHC11"";""TF"""
"79862;""ZNF669"";""TF"""
"79882;""ZC3H14"";""TF"""
"79891;""ZNF671"";""TF"""
"79894;""ZNF672"";""TF"""
"79898;""ZNF613"";""TF"""
"79943;""ZNF696"";""TF"""
"79973;""ZNF442"";""TF"""
"79977;""GRHL2"";""TF"""
"80032;""ZNF556"";""TF"""
"80095;""ZNF606"";""TF"""
"80108;""ZFP2"";""TF"""
"80110;""ZNF614"";""TF"""
"80139;""ZNF703"";""TF"""
"80149;""ZC3H12A"";""TF"""
"80264;""ZNF430"";""TF"""
"80320;""SP6"";""TF"""
"80709;""AKNA"";""TF"""
"80764;""THAP7"";""TF"""
"80778;""ZNF34"";""TF"""
"80818;""ZNF436"";""TF"""
"80829;""ZFP91"";""TF"""
"81856;""ZNF611"";""TF"""
"83463;""MXD3"";""TF"""
"83637;""ZMIZ2"";""TF"""
"83744;""ZNF484"";""TF"""
"83881;""MIXL1"";""TF"""
"84083;""ZRANB3"";""TF"""
"84146;""ZNF644"";""TF"""
"84163;""GTF2IRD2"";""TF"""
"84186;""ZCCHC7"";""TF"""
"84215;""ZNF541"";""TF"""
"84217;""ZMYND12"";""TF"""
"84225;""ZMYND15"";""TF"""
"84240;""ZCCHC9"";""TF"""
"84243;""ZDHHC18"";""TF"""
"84256;""FLYWCH1"";""TF"""
"84287;""ZDHHC16"";""TF"""
"84324;""SARNP"";""TF"""
"84327;""ZBED3"";""TF"""
"84330;""ZNF414"";""TF"""
"84436;""ZNF528"";""TF"""
"84449;""ZNF333"";""TF"""
"84450;""ZNF512"";""TF"""
"84460;""ZMAT1"";""TF"""
"84503;""ZNF527"";""TF"""
"84527;""ZNF559"";""TF"""
"84614;""ZBTB37"";""TF"""
"84622;""ZNF594"";""TF"""
"84627;""ZNF469"";""TF"""
"84654;""SPZ1"";""TF"""
"84662;""GLIS2"";""TF"""
"84667;""HES7"";""TF"""
"84671;""ZNF347"";""TF"""
"84684;""INSM2"";""TF"""
"84733;""CBX2"";""TF"""
"84765;""ZNF577"";""TF"""
"84775;""ZNF607"";""TF"""
"84858;""ZNF503"";""TF"""
"84872;""ZC3H10"";""TF"""
"84874;""ZNF514"";""TF"""
"84878;""ZBTB45"";""TF"""
"84885;""ZDHHC12"";""TF"""
"84905;""ZNF341"";""TF"""
"84911;""ZNF382"";""TF"""
"84913;""ATOH8"";""TF"""
"84914;""ZNF587"";""TF"""
"84922;""FIZ1"";""TF"""
"84924;""ZNF566"";""TF"""
"84936;""ZFYVE19"";""TF"""
"84944;""MAEL"";""TF"""
"84969;""TOX2"";""TF"""
"85364;""ZCCHC3"";""TF"""
"85437;""ZCRB1"";""TF"""
"85463;""ZC3H12C"";""TF"""
"85508;""SCRT2"";""TF"""
"86614;""HSFY1"";""TF"""
"89767;NA;""TF"""
"90075;""ZNF30"";""TF"""
"90204;""ZSWIM1"";""TF"""
"90233;""ZNF551"";""TF"""
"90317;""ZNF616"";""TF"""
"90321;""ZNF766"";""TF"""
"90333;""ZNF468"";""TF"""
"90338;""ZNF160"";""TF"""
"90441;""ZNF622"";""TF"""
"90462;NA;""TF"""
"90485;""ZNF835"";""TF"""
"90576;""ZNF799"";""TF"""
"90589;""ZNF625"";""TF"""
"90592;""ZNF700"";""TF"""
"90594;""ZNF439"";""TF"""
"90637;""ZFAND2A"";""TF"""
"90649;""ZNF486"";""TF"""
"90827;""ZNF479"";""TF"""
"90850;""ZNF598"";""TF"""
"90874;""ZNF697"";""TF"""
"90987;""ZNF251"";""TF"""
"90993;""CREB3L1"";""TF"""
"91120;""ZNF682"";""TF"""
"91392;""ZNF502"";""TF"""
"91603;""ZNF830"";""TF"""
"91661;""ZNF765"";""TF"""
"91664;""ZNF845"";""TF"""
"91748;""ELMSAN1"";""TF"""
"91752;""ZNF804A"";""TF"""
"91975;""ZNF300"";""TF"""
"92092;""ZC3HAV1L"";""TF"""
"92283;""ZNF461"";""TF"""
"92285;""ZNF585B"";""TF"""
"92595;""ZNF764"";""TF"""
"92822;""ZNF276"";""TF"""
"92999;""ZBTB47"";""TF"""
"93134;""ZNF561"";""TF"""
"93474;""ZNF670"";""TF"""
"94039;""ZNF101"";""TF"""
"94234;""FOXQ1"";""TF"""
"113835;""ZNF257"";""TF"""
"114026;""ZIM3"";""TF"""
"114991;""ZNF618"";""TF"""
