"entrez.id;""gene.symbols"";""type.of.regulators"""
"3219;""HOXB9"";""TF"""
"3221;""HOXC4"";""TF"""
"3222;""HOXC5"";""TF"""
"3223;""HOXC6"";""TF"""
"3224;""HOXC8"";""TF"""
"3225;""HOXC9"";""TF"""
"3226;""HOXC10"";""TF"""
"3228;""HOXC12"";""TF"""
"3231;""HOXD1"";""TF"""
"3232;""HOXD3"";""TF"""
"3233;""HOXD4"";""TF"""
"3234;""HOXD8"";""TF"""
"3235;""HOXD9"";""TF"""
"3236;""HOXD10"";""TF"""
"3237;""HOXD11"";""TF"""
"3238;""HOXD12"";""TF"""
"3239;""HOXD13"";""TF"""
"3280;""HES1"";""TF"""
"3297;""HSF1"";""TF"""
"3298;""HSF2"";""TF"""
"3299;""HSF4"";""TF"""
"3344;""FOXN2"";""TF"""
"3397;""ID1"";""TF"""
"3399;""ID3"";""TF"""
"3516;""RBPJ"";""TF"""
"3607;""FOXK2"";""TF"""
"3642;""INSM1"";""TF"""
"3651;""PDX1"";""TF"""
"3659;""IRF1"";""TF"""
"3660;""IRF2"";""TF"""
"3661;""IRF3"";""TF"""
"3662;""IRF4"";""TF"""
"3663;""IRF5"";""TF"""
"3664;""IRF6"";""TF"""
"3670;""ISL1"";""TF"""
"3725;""JUN"";""TF"""
"3726;""JUNB"";""TF"""
"3727;""JUND"";""TF"""
"3975;""LHX1"";""TF"""
"4005;""LMO2"";""TF"""
"4009;""LMX1A"";""TF"""
"4010;""LMX1B"";""TF"""
"4084;""MXD1"";""TF"""
"4086;""SMAD1"";""TF"""
"4087;""SMAD2"";""TF"""
"4088;""SMAD3"";""TF"""
"4089;""SMAD4"";""TF"""
"4090;""SMAD5"";""TF"""
"4091;""SMAD6"";""TF"""
"4092;""SMAD7"";""TF"""
"4093;""SMAD9"";""TF"""
"4094;""MAF"";""TF"""
"4097;""MAFG"";""TF"""
"4149;""MAX"";""TF"""
"4150;""MAZ"";""TF"""
"4152;""MBD1"";""TF"""
"4204;""MECP2"";""TF"""
"4205;""MEF2A"";""TF"""
"4208;""MEF2C"";""TF"""
"4209;""MEF2D"";""TF"""
"4211;""MEIS1"";""TF"""
"4212;""MEIS2"";""TF"""
"4213;""MEIS3P1"";""TF"""
"4222;""MEOX1"";""TF"""
"4223;""MEOX2"";""TF"""
"4297;""KMT2A"";""TF"""
"4299;""AFF1"";""TF"""
"4303;""FOXO4"";""TF"""
"4306;""NR3C2"";""TF"""
"4323;""MMP14"";""TF"""
"4335;""MNT"";""TF"""
"4435;""CITED1"";""TF"""
"4520;""MTF1"";""TF"""
"4602;""MYB"";""TF"""
"4605;""MYBL2"";""TF"""
"4609;""MYC"";""TF"""
"4610;""MYCL"";""TF"""
"4613;""MYCN"";""TF"""
"4618;""MYF6"";""TF"""
"4656;""MYOG"";""TF"""
"4661;""MYT1"";""TF"""
"4760;""NEUROD1"";""TF"""
"4761;""NEUROD2"";""TF"""
"4762;""NEUROG1"";""TF"""
"4772;""NFATC1"";""TF"""
"4773;""NFATC2"";""TF"""
"4774;""NFIA"";""TF"""
"4775;""NFATC3"";""TF"""
"4776;""NFATC4"";""TF"""
"4778;""NFE2"";""TF"""
"4779;""NFE2L1"";""TF"""
"4780;""NFE2L2"";""TF"""
"4781;""NFIB"";""TF"""
"4782;""NFIC"";""TF"""
"4783;""NFIL3"";""TF"""
"4784;""NFIX"";""TF"""
"4790;""NFKB1"";""TF"""
"4791;""NFKB2"";""TF"""
"4799;""NFX1"";""TF"""
"4800;""NFYA"";""TF"""
"4801;""NFYB"";""TF"""
"4802;""NFYC"";""TF"""
"4821;""NKX2-2"";""TF"""
"4824;""NKX3-1"";""TF"""
"4825;""NKX6-1"";""TF"""
"4831;""NME2"";""TF"""
"4851;""NOTCH1"";""TF"""
"4861;""NPAS1"";""TF"""
"4862;""NPAS2"";""TF"""
"4863;""NPAT"";""TF"""
"4901;""NRL"";""TF"""
"4904;""YBX1"";""TF"""
"4990;""SIX6"";""TF"""
"5013;""OTX1"";""TF"""
"5017;""OVOL1"";""TF"""
"5036;""PA2G4"";""TF"""
"5077;""PAX3"";""TF"""
"5078;""PAX4"";""TF"""
"5079;""PAX5"";""TF"""
"5080;""PAX6"";""TF"""
"5081;""PAX7"";""TF"""
"5087;""PBX1"";""TF"""
"5089;""PBX2"";""TF"""
"5090;""PBX3"";""TF"""
"5178;""PEG3"";""TF"""
"5201;""PFDN1"";""TF"""
"5245;""PHB"";""TF"""
"5252;""PHF1"";""TF"""
"5307;""PITX1"";""TF"""
"5308;""PITX2"";""TF"""
"5309;""PITX3"";""TF"""
"5316;""PKNOX1"";""TF"""
"5324;""PLAG1"";""TF"""
"5325;""PLAGL1"";""TF"""
"5326;""PLAGL2"";""TF"""
"5396;""PRRX1"";""TF"""
"5449;""POU1F1"";""TF"""
"5451;""POU2F1"";""TF"""
"5452;""POU2F2"";""TF"""
"5453;""POU3F1"";""TF"""
"5454;""POU3F2"";""TF"""
"5455;""POU3F3"";""TF"""
"5456;""POU3F4"";""TF"""
"5459;""POU4F3"";""TF"""
"5460;""POU5F1"";""TF"""
"5462;""POU5F1B"";""TF"""
"5463;""POU6F1"";""TF"""
"5465;""PPARA"";""TF"""
"5467;""PPARD"";""TF"""
"5468;""PPARG"";""TF"""
"5469;""MED1"";""TF"""
"5626;""PROP1"";""TF"""
"5629;""PROX1"";""TF"""
"5814;""PURB"";""TF"""
"5914;""RARA"";""TF"""
"5916;""RARG"";""TF"""
"5925;""RB1"";""TF"""
"5926;""ARID4A"";""TF"""
"5927;""KDM5A"";""TF"""
"5966;""REL"";""TF"""
"5970;""RELA"";""TF"""
"5971;""RELB"";""TF"""
"5978;""REST"";""TF"""
"5991;""RFX3"";""TF"""
"5993;""RFX5"";""TF"""
"5994;""RFXAP"";""TF"""
"6047;""RNF4"";""TF"""
"6095;""RORA"";""TF"""
"6096;""RORB"";""TF"""
"6239;""RREB1"";""TF"""
"6256;""RXRA"";""TF"""
"6257;""RXRB"";""TF"""
